title,excerpt,slug
Accomodation,Find perfect places to stay.,accomodation
Attractions,Experience must-see attractions.,attractions
Bridges,Walk across stunning and historic bridges.,bridges
Buildings,Discover architectural landmarks.,buildings
Castles,Explore historic castles.,castles
Churches & Religious,Explore historic churches and religious sites.,churches
Culture & Art,Explore cultural and artistic landmarks.,culture
Districts,Explore Nuremberg districts.,districts
Entertainment & Sport,Enjoy fun activities and sports events.,entertainment
Events,Notable events hosted in Nuremberg.,events
Food & Drink,Indulge in delicious food and drinks.,food
Landmarks,Visit iconic landmarks and monuments.,landmarks
Museums,Explore historical and cultural museums.,museums
Nature & Outdoor,Discover nature and outdoor adventures.,nature
Parks & Gardens,Relax in beautiful parks and gardens.,parks
Places & Streets,Discover charming places and streets.,places
Shopping & Markets,Enjoy shopping at local markets and stores.,shopping
Statues & Fountains,Admire statues and iconic fountains.,statues
Surroundings,Discover the scenic surroundings.,surroundings
Towers,Visit historic and modern towers.,towers
Transportation,Explore various transport hubs and systems.,transportation
Waters & Rivers,Explore serene waters and rivers.,waters